uf,municipio,logradouro,complemento,bairro,telefone,id
SP,Taubate,Avenida Dom Pedro I,3.575 - Esquina Com R. Antônio Castilho Marcondes,Jardim Eulália,11 5586 4291,1058775
SP,Suzano,Rua Mirambava,156 -,Centro,(11) 4766-0611 ou (11) 2178-1411,2006293
SP,Taubate,Avenida Bandeirantes,E-701 - - Até 1036/1037,Jardim Maria Augusta,(12) 34241309,1070032
SP,Taubate,Avenida Dom Pedro I,3575 -,Campos Elíseos,(12) 3635-4553,9671
SP,Taubate,Av. John F. Kennedy,20 -,Jardim das Nações,(12)3621-6018,9925
SP,Taubate,Avenida José Olegário de Barros,1350 -,Vila das Graças,43-33717473 31 21260820,4056
SP,Tabatinga,Rua Frederico de Quero,389 -,Aguas do Valle,(16)3885-2420,22924
SP,Sorocaba,Rua Miranda Azevedo,250 -,Centro,(15) 2101-3800,6925
SP,Taubate,Avenida José Olegário de Barros,46/58 -,Vila Nossa Senhora das Graças,(12) 3624 7106,659773
SP,Tiete,Rua Antonio José Pereira,15 -,Vila Brasilinha,(15) 3282-8337,1069501
SP,Sorocaba,Rua ??lvaro Soares,550 -,Centro,(15) 3211-8335,707576
SP,Sorocaba,Rua Arthur Gomes,51 -,Centro,(15) 3332-9901,658580
SP,Sorocaba,Rodovia Raposo Tavares,"S/n - Km 92,5",Jardim Novo Eldorado,(15) 2101-7000,1000208
SP,Sorocaba,Avenida Independência,210 -,Jardim ??den,(15) 238 1000,373
SP,Sorocaba,Rua Miranda Azevedo,469 -,Centro,15 3232-9675,6604
SP,Sorocaba,Avenida Moreira César,124 -,Centro,(11) 4766-0611 ou (11) 2178-1411,2001804
SP,Sumare,Rua Ipiranga,525 -,Centro,(19) 3854-4630,10019
SP,Sertaozinho,Av. Antonio Paschoal,1954 -,1954,43-33717473 31 21260820,2008409
SP,Sao Sebastiao,Rua Agripino José do Nascimento,177 -,Vila Amélia,(12) 38925191,659312
SP,Sao Sebastiao,Rua Gilmar Furtado de Oliveira,84 -,Boiçucanga,(12)3865-3885,9840
SP,Sao Roque,Av. Tiradentes,550 -,Centro,(11) 4784-9777,9650
SP,Ubatuba,Rua Liberdade,271 -,Centro,(12)3836-2119,6605
